Date,AAPL
2008-04-16,4.735337257385254
2008-04-17,4.759676456451416
2008-04-18,4.961474418640137
2008-04-21,5.180834770202637
2008-04-22,4.9355950355529785
2008-04-23,5.0184712409973145
2008-04-24,5.2048659324646
2008-04-25,5.229204177856445
2008-04-28,5.3065338134765625
2008-04-29,5.393108367919922
2008-04-30,5.359218597412109
2008-05-01,5.545612335205078
2008-05-02,5.574573040008545
2008-05-05,5.691339492797852
2008-05-06,5.750800132751465
2008-05-07,5.625407695770264
2008-05-08,5.701506614685059
2008-05-09,5.65190315246582
2008-05-12,5.797015190124512
2008-05-13,5.852470874786377
2008-05-14,5.738476753234863
2008-05-15,5.845383167266846
2008-05-16,5.7803778648376465
2008-05-19,5.656525135040283
2008-05-20,5.727385997772217
2008-05-21,5.489847660064697
